2012-09-04,2.75,2.77,2.73,2.76,2179100,2.76
2012-09-05,2.78,2.78,2.73,2.76,2069900,2.76
2012-09-06,2.78,2.79,2.73,2.74,3140800,2.74
2012-09-07,2.75,2.76,2.73,2.73,1983600,2.73
2012-09-10,2.73,2.74,2.67,2.67,3375500,2.67
2012-09-11,2.66,2.71,2.66,2.70,2285000,2.70
2012-09-12,2.70,2.72,2.65,2.66,2372300,2.66
2012-09-13,2.63,2.65,2.58,2.61,3993400,2.61
2012-09-14,2.64,2.66,2.61,2.63,2836400,2.63
2012-09-17,2.64,2.66,2.63,2.66,1325300,2.66
2012-09-18,2.66,2.66,2.58,2.58,2069800,2.58
2012-09-19,2.64,2.64,2.57,2.59,1774300,2.59
2012-09-20,2.60,2.61,2.57,2.57,1383200,2.57
2012-09-21,2.60,2.60,2.51,2.51,3262200,2.51
2012-09-24,2.50,2.53,2.48,2.52,1932900,2.52
2012-09-25,2.53,2.53,2.38,2.40,5101800,2.40
2012-09-26,2.38,2.74,2.34,2.61,9818200,2.61
2012-09-27,2.61,2.70,2.61,2.67,3370900,2.67
2012-09-28,2.71,2.71,2.61,2.68,12537900,2.68
Date,Open,High,Low,Close,Volume,Adj Close
